UpDown,lag1return,lag2return,lag3return,lag4return,lag5return
0,-0.008093685,-0.008403811,0.017888281,0.011629843,-0.008893472
0,-0.002578555,-0.008093685,-0.008403811,0.017888281,0.011629843
0,-0.005813067,-0.002578555,-0.008093685,-0.008403811,0.017888281
1,-0.009247876,-0.005813067,-0.002578555,-0.008093685,-0.008403811
1,0.013424199,-0.009247876,-0.005813067,-0.002578555,-0.008093685
1,0.001549952,0.013424199,-0.009247876,-0.005813067,-0.002578555
1,0.004731624,0.001549952,0.013424199,-0.009247876,-0.005813067
0,0.015269722,0.004731624,0.001549952,0.013424199,-0.009247876
1,-0.005491522,0.015269722,0.004731624,0.001549952,0.013424199
0,0.002568461,-0.005491522,0.015269722,0.004731624,0.001549952
0,-0.013387862,0.002568461,-0.005491522,0.015269722,0.004731624
1,-0.01349561,-0.013387862,0.002568461,-0.005491522,0.015269722
0,0.009534685,-0.01349561,-0.013387862,0.002568461,-0.005491522
1,-0.012991965,0.009534685,-0.01349561,-0.013387862,0.002568461
1,0.012962464,-0.012991965,0.009534685,-0.01349561,-0.013387862
0,0.014439495,0.012962464,-0.012991965,0.009534685,-0.01349561
1,-0.004156046,0.014439495,0.012962464,-0.012991965,0.009534685
0,0.010291407,-0.004156046,0.014439495,0.012962464,-0.012991965
0,-0.003418172,0.010291407,-0.004156046,0.014439495,0.012962464
1,-0.004247195,-0.003418172,0.010291407,-0.004156046,0.014439495
0,0.010675561,-0.004247195,-0.003418172,0.010291407,-0.004156046
1,-2.90338E-05,0.010675561,-0.004247195,-0.003418172,0.010291407
1,0.009644506,-2.90338E-05,0.010675561,-0.004247195,-0.003418172
1,0.004074739,0.009644506,-2.90338E-05,0.010675561,-0.004247195
0,0.001597575,0.004074739,0.009644506,-2.90338E-05,0.010675561
0,-0.000314309,0.001597575,0.004074739,0.009644506,-2.90338E-05
1,-0.001062058,-0.000314309,0.001597575,0.004074739,0.009644506
0,0.006126534,-0.001062058,-0.000314309,0.001597575,0.004074739
1,-0.000303339,0.006126534,-0.001062058,-0.000314309,0.001597575
